Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
436,393,55,103,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"66,400",,"2,746.30","5,312.00","5,645,568",,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179810
437,394,54,92,,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2019,Government,"59,976","48,960","2,744.84","5,354.88","2,423,808",,,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179742
438,395,57,161,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"72,000",,"2,742.91","5,760.00","5,366,400",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179922
439,396,53,82,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Vienna Scientific Cluster,Lenovo,Austria,2019,Academic,"37,920",,"2,726.08","3,761.66","3,385,000",,,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"50,345",179697
440,397,54,94,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2019,Research,"52,920",,"2,724.52","3,894.91","4,999,680",,38.80,750.00,Submitted,3.63,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux/TOSS,Linux,None,18,Xeon Gold (Skylake),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179777
441,398,56,126,ZZ3,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"66,400",,"2,721.33","5,312.00","4,609,536",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold (Skylake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179888
442,399,57,165,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"71,040",,"2,710.88","5,683.20","5,330,688",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179921
443,400,64,400,Arka AI/ML,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100 SXM5 80GB, Octo-rail NVIDIA HDR100 Infiniband, Red Hat Enterprise Linux",Indian Institute of Tropical Meteorology,EVIDEN,India,2024,Research,"8,176","7,392","2,703.00","3,746.85","691,200",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Red Hat Enterprise Linux,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Octo-rail NVIDIA HDR100 Infiniband,Asia,"50,296",180306
444,401,56,127,ZZ4,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"65,600",,"2,691.69","5,248.00","4,581,888",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold (Skylake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179889
445,402,57,167,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"70,080",,"2,677.05","5,606.40","5,294,592",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179920
446,403,55,107,Banting,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect",Shared Services Canada,HPE,Canada,2019,Government,"53,200",,"2,676.74","4,085.76","2,799,744",,,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment,Linux,None,20,Xeon Gold (Skylake),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,719",179862
447,404,54,95,Hypercluster,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",Microsoft Research,Nvidia,United States,2019,Research,"47,808","46,080","2,666.00","4,219.09","1,531,040",,,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,"50,819",179775
448,405,59,227,A14A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MCA,Lenovo,Canada,2022,Industry,"78,336",,"2,661.56","5,264.18","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,931",180063
449,406,60,252,NO2,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2022,Industry,"78,336",,"2,661.56","5,264.18","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",180110
450,407,56,130,ZZ5,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"64,800",,"2,661.46","5,184.00","4,553,856",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold (Skylake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179890
451,408,56,131,ZZ6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"69,120",,"2,654.04","5,529.60","4,293,120",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179891
452,409,55,109,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Cloud Company,Lenovo,China,2020,Industry,"128,000",,"2,651.95","4,710.40","8,763,648",,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold (Skylake),ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,775",179850
453,410,56,133,Grace,"PowerEdge R640/R740/R840, Xeon Gold 6248R/6248R/6248, 24C 3.0GHz, InfiniBand HDR100",Texas A&M University,DELL,United States,2020,Academic,"43,200","1,532","2,638.53","4,829.34","4,450,560",,,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,"3,000",CentOS,Linux,None,24,Xeon Gold 62xx (Cascade Lake),PowerEdge R840,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,"48,957",179905
454,411,48,42,LLNL/NNSA CTS-1 Jade,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,"95,472",,"2,632.51","3,207.86","5,601,024",,,"13,620.00",Submitted,0.19,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Linux/TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",178969
455,412,48,43,LLNL CTS-1 Quartz,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,"95,472",,"2,632.51","3,207.86","5,601,024",,,"13,620.00",Submitted,0.19,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Linux/TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",178971
456,413,60,260,NEA1,"ThinkSystem SR630, Intel Xeon Gold 4214R 12C 2.4GHz, 10G Ethernet",Service Provider NE,Lenovo,China,2022,Industry,"144,000",,"2,632.45","5,529.60","8,763,648",,,,,,,Cluster,Intel Xeon Gold 4214R 12C 2.4GHz,Intel Cascade lake,"2,400",Linux,Linux,None,12,Xeon Gold 42xx (Cascade Lake),ThinkSystem SR630,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,942",180112
457,,65,457,,"FusionServer 2288H V8, Intel Xeon 6972P 96C 2.4GHz, Intel Omni-Path 100G, RHEL 9.4",Manufacturing Industry (A),xFusion,Norway,2025,Industry,"41,472",,"2,623.29","3,185.05","4,073,472","814,848",,,,,,Cluster,Intel Xeon 6972P 96C 2.4GHz,Intel Granite Rapids,"2,400",RHEL 9.4,Linux,None,96,Intel Granite Rapids,FusionServer 2288H V8,xFusion Cluster,Omnipath,Intel Omni-Path 100G,Europe,"51,069",180398
458,414,54,98,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"64,000",,"2,621.44","5,120.00","5,542,656",,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold (Skylake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179747
459,415,55,113,,"Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100",Tsinghua University,Inspur,China,2020,Academic,"50,400",,"2,610.00","4,354.56","4,298,000",,,,,,,Cluster,Xeon Gold 6258R 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Gold 62xx (Cascade Lake),Inspur TS10000,Inspur Cluster,Infiniband,InfiniBand HDR100,Asia,"49,774",179827
460,416,58,216,A7A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"76,800",,"2,609.38","5,160.96","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179993
461,417,58,217,A7A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"76,800",,"2,609.38","5,160.96","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179995
462,418,58,218,A1B,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"76,800",,"2,609.38","5,160.96","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",180003
463,419,60,266,NO1,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2022,Industry,"76,800",,"2,609.37","5,160.96","4,957,440",,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem C0366,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",180111
464,420,57,178,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"68,160",,"2,609.16","5,452.80","5,221,632",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179919
465,421,55,114,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,"67,584",,"2,607.98","4,895.54","4,320,000",,,792.00,Submitted,3.29,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,"2,400",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179858
466,422,55,115,Daley,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect",Shared Services Canada,HPE,Canada,2019,Government,"53,200",,"2,598.28","4,085.76","2,799,744",,,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment,Linux,None,20,Xeon Gold (Skylake),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,719",179863
467,423,57,181,AlphaCentauri,"NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200","TU Dresden, ZIH",NEC,Germany,2021,Academic,"31,008","29,376","2,592.00","5,364.06","1,170,432",,87.54,163.65,Submitted,15.84,,Cluster,EPYC 7352 24C 2.3GHz,AMD Zen-2 (Rome),"2,300",CentOS,Linux,NVIDIA A100 SXM4 40 GB,24,AMD Zen-2 (Rome),NEC HPC 22S8Ri-4,NEC Cluster,Infiniband,Infiniband HDR200,Europe,"50,565",179942
468,424,49,48,HPC3,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80",Energy Company (A),Lenovo,Italy,2017,Industry,"66,000","39,000","2,592.00","3,798.60","3,184,896",,,,,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,NVIDIA Tesla K80,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Infiniband,Infiniband EDR,Europe,"49,438",179071
469,425,55,117,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"62,400",,"2,590.84","4,992.00","5,472,768",,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179812
470,426,61,311,Conesus,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Infiniband HDR200",University of Rochester - Laboratory for Laser Energetics,DELL,United States,2023,Research,"43,008",,"2,589.48","2,752.51","4,869,888",,,409.25,Submitted,6.33,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",TOSS 4 Linux,Linux,None,56,Xeon Platinum (Sapphire Rapids),PowerEdge C6220,Dell PowerEdge Cluster,Infiniband,Infiniband HDR200,North America,"50,958",180176
471,427,55,118,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"64,320",,"2,583.09","5,145.60","5,072,256",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179811
472,428,57,185,,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",Service Provider K,Lenovo,China,2021,Industry,"83,200",,"2,581.02","5,591.04","5,542,656",,,,,,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,None,26,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,885",179915
473,429,59,247,ASPIRE 2A (CPU Partition),"HPE Cray EX425, AMD EPYC 7713 64C 2GHz, Slingshot-10",National Supercomputing Centre Singapore,HPE,Singapore,2022,Research,"98,304",,"2,578.58","3,108.86","4,567,488",,51.79,,,,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL 8.3,Linux,None,64,AMD Zen-3 (Milan),HPE Cray EX425,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Asia,"50,631",180078
474,430,57,186,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Service Provider T,Lenovo,China,2021,Industry,"67,200",,"2,574.02","5,376.00","5,184,768",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179918
475,431,51,66,Mihir,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",National Centre for Medium Range Weather Forecasting,HPE,India,2018,Research,"83,592",,"2,570.40","2,808.69","3,349,440",,,954.73,Submitted,2.69,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,235",179418
476,432,56,146,Spartan2,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,EVIDEN,France,2020,Vendor,"23,040","20,736","2,566.00","3,847.22","981,504",,66.70,105.76,Submitted,24.26,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",Linux,Linux,NVIDIA A100,24,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,630",179893
477,433,63,390,,"PRIMERGY CX2550M7, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR200",Japan Meteorological Agency,Fujitsu,Japan,2023,Research,"55,552",,"2,547.81","3,377.56","2,621,477",,,438.03,Submitted,5.82,,Cluster,Xeon CPU Max 9480 56C 1.9GHz,Intel Sapphire Rapids,"1,900",Red Hat Enterprise Linux,Linux,None,56,Intel Xeon Max,PRIMERGY CX2550M7,Fujitsu PRIMERGY,Infiniband,Infiniband NDR200,Asia,"48,169",180278
478,434,63,391,,"PRIMERGY CX2550M7, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR200",Japan Meteorological Agency,Fujitsu,Japan,2023,Research,"55,552",,"2,547.81","3,377.56","2,621,477",,,438.03,Submitted,5.82,,Cluster,Xeon CPU Max 9480 56C 1.9GHz,Intel Sapphire Rapids,"1,900",Red Hat Enterprise Linux,Linux,None,56,Intel Xeon Max,PRIMERGY CX2550M7,Fujitsu PRIMERGY,Infiniband,Infiniband NDR200,Asia,"48,169",180279
479,435,51,68,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,"50,816","2,688","2,547.00","4,229.85","5,498,000",,,710.00,Submitted,3.59,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",RHEL 7.3,Linux,NVIDIA Tesla P100,16,Xeon Gold (Skylake),Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,551",179440
480,436,62,377,Sol,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100 SXM4 80 GB, MT28908 ConnectX-6 200 Gib/s, Rocky Linux 8",Arizona State University,DELL,United States,2023,Academic,"41,856","24,192","2,546.00","4,085.36","1,514,240",,,173.40,Submitted,14.68,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",Rocky Linux 8,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,MT28908 ConnectX-6 200 Gib/s,North America,"50,960",180227
481,437,42,14,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa,United States,2013,Research,"194,616","171,720","2,539.13","3,388.03","4,032,000",,,"1,384.00",Submitted,1.83,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,"2,600",Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,"48,611",178250
482,438,59,372,Champollion,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR, RHEL 8.5",Hewlett Packard Enterprise,HPE,France,2022,Vendor,"19,840","17,280","2,537.00","3,118.69","1,081,344",,55.84,59.63,Submitted,42.55,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",RHEL 8.5,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR,Europe,"50,928",180073
483,439,58,233,Rattler,"PowerEdge XE8545, AMD EPYC 7713 64C 2GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail",Dell Technologies HPC & AI Innovation Lab,DELL,United States,2021,Vendor,"26,880","20,736","2,531.00","3,940.61","999,936",,43.25,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,Infiniband HDR200 dual rail,North America,"50,904",180040
484,440,64,440,Adastra 2,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, RHEL",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),HPE,France,2024,Academic,"16,128","14,592","2,529.00","4,056.40","995,328",,,36.60,Submitted,69.10,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",RHEL,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,203",180319
485,441,62,359,HEMUS,"HPE Proliant XL675d Gen10 Plus, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",Institute of Information and Communication Technologies at the Bulgarian Academy of Sciences,HPE,Bulgaria,2023,Research,"19,840","17,280","2,526.00","3,212.16","786,432",,36.42,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",SUSE Linux,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-2 (Rome),HPE Proliant XL675d Gen10 Plus,HPE Proliant,Infiniband,Infiniband HDR,Europe,"50,586",180208
486,442,62,360,Improv,"PowerEdge R6525, AMD EPYC 7713 64C 2GHz, Infiniband",DOE/SC/Argonne National Laboratory,DELL,United States,2023,Research,"105,600",,"2,509.70","3,379.20","5,004,704",,,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL,Linux,None,64,AMD Zen-3 (Milan),PowerEdge R6525,Dell PowerEdge Cluster,Infiniband,Infiniband,North America,"47,347",180225
487,443,49,51,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),EVIDEN,France,2016,Academic,"85,824",,"2,494.65","3,570.28","3,889,152",,45.48,"1,430.00",Submitted,1.74,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,"2,600",bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"50,203",179092
488,444,63,399,Crash1,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",Automotive Company,Lenovo,Sweden,2022,Industry,"40,448",,"2,490.39","3,365.27","5,529,600",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"51,025",180242
489,445,55,125,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"61,440",,"2,487.09","4,915.20","4,957,440",,,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179813
